"DON'T NOD", Life is Strange 2
'Nintendo SPD Group No. 2', Fire Emblem: Radiant Dawn
'Nintendo Software Technology', Mario vs. Donkey Kong
'Nintendo of America', Professor Layton and the Unwound Future
'Nintendo of Europe', Kirby Super Star Ultra
'Nintendo', Pokémon White
'Nippon Ichi Software', Labyrinth of Galleria: The Moon Society
'Nitroplus', Full Metal Daemon Muramasa
'Nokia', Snake
'Nomada Studio', Gris
'Nordic Games Publishing', Broken Age
'Number None Inc.', Braid
'OMOCAT', Omori
'Obsidian Entertainment', Alpha Protocol
'Omega Force', Wild Hearts
'One More Level', Ghostrunner
'Orange_Juice', 100% Orange Juice
'Origin Systems', System Shock
'Overkill Software', Payday: The Heist
'PLAYISM', Ib
'PUBG Corp', PUBG: Battlegrounds
'PagodaWest Games', Sonic Mania
'Palcom', Castlevania III: Dracula's Curse
'Pandemic Studios', Star Wars: Battlefront II
'Panic', Firewatch
'Paradox Development Studio', Europa Universalis IV
'Paradox Interactive', Mount & Blade: Warband
'Parsec Productions', Slender: The Eight Pages
'People Can Fly', Bulletstorm
'Perfect World Entertainment', Remnant: From the Ashes
'PeroPeroGames', Muse Dash
'Phobia Game Studio', Carrion
'Piacci', Aokana: Four Rhythms Across the Blue
'Pillow Castle Games', Superliminal
'Pionner LDC', Serial Experiments Lain
'PlatinumGames', Bayonetta 2
'Playdead', Limbo
'Player First Games', MultiVersus
'Playground Games', Forza Horizon 5
'Playstack', Mortal Shell
'Playtonic Friends', Lil Gator Game
'Poncle', Vampire Survivors
'PopCap Games', Peggle Deluxe
'Portkey Games', Hogwarts Legacy
'Private Division', The Outer Worlds
'Project Moon', Lobotomy Corporation
'Project Sora', Kid Icarus: Uprising
'Psyonix', Rocket League
'Punchline', Rule of Rose
'QLOC', Dark Souls: Remastered
'Quantic Dream', Beyond: Two Souls
'Radical Entertainment', Prototype
'Radical Fish Games', CrossCode
'Rare', Banjo-Kazooie
'Raw Fury', Norco
'Re-Logic', Terraria
'Ready at Dawn', God of War: Chains of Olympus
'Rebellion Developments', Sniper Elite 4
'Red Barrels', Outlast
'Red Entertainment', Gungrave G.O.R.E
'Red Hook Studios', Darkest Dungeon
'Red Kite Games', God of War III: Remastered
'Reikon Games', Ruiner
'Remedy Entertainment', Control
'Respawn Entertainment', Star Wars Jedi: Fallen Order
'Retro Studios', Metroid Prime
'Riot Forge', Ruined King: A League of Legends Story
'Riot Games', Valorant
'Rising Star Games', La-Mulana
'RobTop Games', Geometry Dash
'Roblox Corporation', Roblox
'Rockstar Games', The Warriors
'Rockstar North', Grand Theft Auto V
'Rockstar Toronto', The Warriors
'Rockstar Vancouver', Bully
'Rocksteady Studios', Batman: Arkham Asylum
'Rogue Entertainment', American McGee's Alice
'Roll7', Rollerdrome
'Round8 Studio', Lies of P
'Rozner Labs Software Group', Mega Man X
'Running with Scissors', Postal 2
'Ryu ga Gotoku Studios', Judgment
'Ryū Ga Gotoku Studios', Yakuza Kiwami
'SCE Japan Studio', Ape Escape 3
'SCE Santa Monica Studio', PlayStation All-Stars Battle Royale
'SEGA of America', Sonic Colors
'SEGA of Japan', Yakuza 4 Remastered
'SIE Bend Studio', Days Gone
'SIE Japan Studio', Astro's Playroom
'SIE Santa Monica Studio', God of War II
'SNK Corporation', The King of Fighters XV
'SNK', The King of Fighters XV
'SUKEBAN', VA-11 Hall-A: Cyberpunk Bartender Action
'SUPERHOT Team', SuperHot
'Sabotage', The Messenger
'Scott Slucher', Lil Gator Game
'Scottgames', Five Nights at Freddy's
'Second Dinner', Marvel Snap
'Sega AM2', Shenmue
'Sega Games', Judgment
'Sega Technical Institute', Sonic the Hedgehog 3 & Knuckles
'Sega', Alpha Protocol
'Shedworks', Sable
'Shift', Code Vein
'Siactro', Super Kiwi 64
'Sierra Entertainment', Half-Life: Opposing Force
'Silicon Knights', Metal Gear Solid: The Twin Snakes
'Simogo', Sayonara Wild Hearts
'Skip Ltd.', Chibi-Robo!
'Skybound Games', The Walking Dead: Season Two
'Sledgehammer Games', Call of Duty: Advanced Warfare
'Sloclap', Sifu
'Smilebit', Jet Set Radio Future
'Sold Out Sales & Marketing', Sniper Elite 4
'Soleil', Valkyrie Elysium
'Sonic Team USA', Sonic Adventure 2
'Sonic Team', Sonic Generations
'Sony Computer Entertainment, God of War II
'Sony Computer Entertainment Europe', Ape Escape 3
'Sony Computer Entertainment', Twisted Metal
'Sony Interactive Entertainment', Marvel's Spider-Man: Miles Morales
'Sora', Super Smash Bros. Ultimate
'Sorath', Hyper Demon
'Spicy Horse Games', Alice: Madness Returns
'Spike ChunSoft', Danganronpa 2: Goodbye Despair
'Spike', Dragon Ball Z: Budokai Tenkaichi 3
'Splashteam', Tinykin
'Square Electronic Arts', Final Fantasy X
'Square Enix Creative Business Unit III', Final Fantasy XVI
'Square Enix', Kingdom Hearts II
'Square Soft', Parasite Eve II
'Square', Chrono Trigger
'Squaresoft', Kingdom Hearts Final Mix
'St. GIGA', The Legend of Zelda: A Link to the Past
'Starbreeze Studios', Brothers: A Tale of Two Sons
'Starbreeze publishing AB', Dead by Daylight
'Steel Crate Games', Keep Talking and Nobody Explodes
'Steve Howse', Slither.io
'Striking Distance Studios', The Callisto Protocol
'Studio MDHR', Cuphead: The Delicious Last Course
'Studio Pixel', Cave Story
'Studio Zero', Catherine: Full Body
'Subset Games', FTL: Faster Than Light
'Sucker Punch Productions', Ghost of Tsushima
'Sumo Digital', Team Sonic Racing
'Supercell', Clash of Clans
'Supergiant Games', Transistor
'Supermassive Games', Until Dawn
'Surefire.Games', Everhood
'System Erasure', ZeroRanger
'THQ Wireless', Star Wars: The Force Unleashed
'THQ', Saints Row: The Third
'TT Fusion', The LEGO Movie Videogame
'TYPE-MOON', Witch on the Holy Night
'Taito Corporation', Bubble Bobble
'Take-Two Interactive', Bully
'Taleworlds', Mount & Blade: Warband
'Tango Gameworks', The Evil Within
'Tarsier Studios', Little Nightmares II
'Team Cherry', Hollow Knight: Voidheart Edition
'Team Ico', Ico
'Team Meat', Super Meat Boy
'Team NINJA', Ninja Gaiden Black
'Team Salvato', Doki Doki Literature Club!
'Team Shanghai Alice', Touhou Koumakyou: The Embodiment of Scarlet Devil
'Team Shinobi', Altered Beast
'Team Silent', Silent Hill 2
'Team17', Overcooked! 2
'Techland Publishing', Dying Light 2: Stay Human
'Techland', Dying Light 2: Stay Human
'Tecmo Co., Fatal Frame II: Crimson Butterfly
'Tecmo', Ninja Gaiden Black
'Telltale Games', The Wolf Among Us
'Terrible Toybox', Return to Monkey Island
'Terry Cavanagh', Super Hexagon
'ThatGameCompany', Journey
'The Behemoth', Castle Crashers
'The Coalition', Gears 5
'The Collective', Star Wars: Episode III - Revenge of the Sith
'The Game Kitchen', Blasphemous
'The Indie Stone', Project Zomboid
'The LEGO Group', LEGO Builder's Journey
'The New York Times', Wordle
'The Outsiders', Metal: Hellsinger
'The Pokémon Company', Pokémon HeartGold
'The Sims Studio', The Sims 4
'Thekla, The Witness
'Thomas Happ Games', Axiom Verge 2
'Thunder Lotus Games', Spiritfarer
'Timi', Pokémon Unite
'Titus Software', Superman: The New Superman Adventures
'Torn Banner Studios', Chivalry: Medieval Warfare
'Tose', Resident Evil: Revelations
'Tour De Pizza', Pizza Tower
'Toylogic', NieR Replicant ver.1.22474487139...
'Toys for Bob', Spyro Reignited Trilogy
'Treasure', Ikaruga
'Treyarch', Call of Duty: Black Ops III
'Tribute Games', Teenage Mutant Ninja Turtles: Shredder's Revenge
'Tripwire Interactive', Killing Floor 2
'Turtle Rock Studios', Back 4 Blood
'U.S. Gold', Street Fighter II
'Ubisoft Chengdu', Scott Pilgrim vs. the World: The Game - Complete Edition
'Ubisoft Entertainment', Rayman Legends
'Ubisoft Montpellier', Rayman Legends
'Ubisoft Montreal', Assassin's Creed Revelations
'Ubisoft Paris', Mario + Rabbids Sparks of Hope
'Ubisoft Québec', Assassin's Creed Odyssey
'Ubisoft San Francisco', South Park: The Fractured But Whole
'Ubisoft Shanghai', Beyond Good & Evil
'Ubisoft Sofia', Assassin's Creed Rogue
'Ubisoft Toronto', Far Cry 6
'Ubisoft', Brawlhalla
'Ultra Games', Metal Gear
'United Front Games', Sleeping Dogs: Definitive Edition
'Universal Interactive Studios', Crash Nitro Kart
'Unknown Worlds Entertainment', Subnautica
'Valve', Left 4 Dead
'Vanillaware', Odin Sphere: Leifthrasir
'Vanripper', Helltaker
'Vicarious Visions', Crash Bandicoot N. Sane Trilogy
'Victor Interactive Software', Flower, Sun, and Rain
'Videocult', Rain World
'Virgin Interactive Entertainment, JoJo's Bizarre Adventure
'Virgin Interactive Entertainment (Europe) Ltd.', Another World
'Virgin Interactive Entertainment', Street Fighter III: 3rd Strike
'Virtuos', Final Fantasy X/X-2 HD Remaster
'Visceral Games', Dead Space 2
'Vivendi Universal', F.E.A.R.
'Vlambeer', Nuclear Throne
'Volition', Saints Row: The Third
'WB Games Montréal', Batman: Arkham Origins
'WB Games', Superman: The New Superman Adventures
'WSS playground', Needy Streamer Overload
'Warhorse Studios', Kingdom Come: Deliverance
'Warner Bros. Interactive Entertainment', Mortal Kombat 11
'WayForward Technologies', Shantae and the Seven Sirens
'WayForward', Shantae and the Seven Sirens
'Whippoorwill', A Short Hike
'Whiptail Interactive', Postal 2
'White Owls Inc.', The Missing: J.J. Macfield and the Island of Memories
'Witch Beam', Unpacking
'Witchcraft Inc.', Digimon Survive
'Wiz', Pac-Man
'WolfEye Studios', Weird West
'Wube Software LTD.', Factorio
'X.D. Network Inc.', To the Moon
'XSEED Games', The Legend of Heroes: Trails of Cold Steel
'Xbox Game Studios', Ori and the Will of the Wisps
'Yacht Club Games', Shovel Knight
'Young Horses', Bugsnax
'Ysbryd Games', World of Horror
'ZA/UM', Disco Elysium: The Final Cut
'ZeniMax Media', The Elder Scrolls III: Morrowind
'Zenimax Europe', Dishonored: Definitive Edition
'adamgryu', A Short Hike
'etherane', Hello Charlotte Ep.3: Childhood's End
'h.a.n.d. Inc.', Flower, Sun, and Rain: Murder and Mystery in Paradise
'hempuli', Baba is You
'id Software', Doom
'kouri', Ib
'miHoYo', Genshin Impact
'niceplay game', Potion Craft
