2023-05-11 06:52:00,2023-05-11 06:53:00,Flamingo for Android,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Slogover,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Tweetbot for iΟS,9
2023-05-11 06:52:00,2023-05-11 06:53:00,Zapier.com,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Oktopost,1
2023-05-11 06:52:00,2023-05-11 06:53:00,43,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Twitter for Advertisers,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Buffer,4
2023-05-11 06:52:00,2023-05-11 06:53:00,Оwly,2
2023-05-11 06:52:00,2023-05-11 06:53:00,Twitterrific for iOS,6
2023-05-11 06:52:00,2023-05-11 06:53:00,Hootsuite Inc.,10
2023-05-11 06:56:00,2023-05-11 06:57:00,dlvr.it,1
2023-05-11 06:56:00,2023-05-11 06:57:00,Twitter for Advertisers,1
2023-05-11 06:56:00,2023-05-11 06:57:00,Twitter Web App,48
2023-05-11 06:56:00,2023-05-11 06:57:00,Buffer,1
2023-05-11 06:56:00,2023-05-11 06:57:00,SoCrowd,1
2023-05-11 06:56:00,2023-05-11 06:57:00,Instagram,2
2023-05-11 06:56:00,2023-05-11 06:57:00,0
2023-05-11 06:56:00,2023-05-11 06:57:00,Twitter for iPad,8
2023-05-11 06:56:00,2023-05-11 06:57:00,Twitter for iPhone,86
2023-05-11 06:56:00,2023-05-11 06:57:00,positive,1
2023-05-11 06:56:00,2023-05-11 06:57:00,Twitter Media Studio,1
2023-05-11 06:56:00,2023-05-11 06:57:00,Hootsuite Inc.,3
2023-05-11 06:56:00,2023-05-11 06:57:00,TweetDeck Web App,1
2023-05-11 06:56:00,2023-05-11 06:57:00,Twittimer,2
2023-05-11 06:56:00,2023-05-11 06:57:00,Echobox,1
2023-05-11 06:56:00,2023-05-11 06:57:00,Twitter for Android,57
2023-05-11 06:56:00,2023-05-11 06:57:00,Sprout Social,1
2023-05-11 06:56:00,2023-05-11 06:57:00,SocialFlow,1
